infoid,Vehicle_name,Odometer,License_plate,Cubic_power,Manufacture_year,ID_VehicleBrand,ID_VehicleLineup,Condition,ID_VehicleType,ID_Color
200,Yamaha Nouvo FI SX,20000,,124.9,201507,40,527,used,1,1
201,Honda Air Blade 125 FI,5000,,125,202101,15,148,used,1,3
202,Honda Wave Alpha RSX 110 Fi,5000,,110,202206,15,1055,used,2,15
203,Yamaha MT 15,5000,,155,202107,40,531,used,2,15
204,Honda Air Blade 125 FI,5000,,125,202202,15,148,used,1,5
205,Piaggio Liberty 125,5000,,124cc,201501,29,355,used,1,5
206,Honda Wave Alpha RSX,5000,,110,201612,15,1055,used,2,1
207,Yamaha Janus 2019,5000,,125,202112,40,525,used,1,5
208,Honda Vision 110,10000,,108,201708,15,135,used,1,10
209,Honda Crea Giorno,5000,,49,202102,15,134,used,1,10
210,Honda Vision 110,5000,,108,202001,15,135,used,1,14
211,Suzuki Impulse 125 Fi,5000,,124,201906,34,423,used,1,3
212,Honda Winner X 150,5000,,150,202107,15,1076,used,2,15
213,Honda Click 110,5000,,110,201512,15,163,used,2,1
214,Honda Crea Giorno,5000,,49,201904,15,134,used,1,1
215,Honda Vision 110,5000,,108,202201,15,135,used,1,15
216,Honda Air Blade 150 Fi,5000,,150,202202,15,148,used,1,10
217,Yamaha R15 V3 1055,5000,,,202101,40,1078,used,3,13
218,Yamaha R15 V3 1055,20000,,,201906,40,1078,used,3,15
219,SYM Elite 50,5000,,49.5,202110,35,445,used,1,3
220,Honda SH 125,5000,,124.9,201608,15,167,used,1,3
221,Yamaha TFX 150,5000,,149.8,202107,40,539,used,2,4
222,Piaggio Vespa LX,5000,,124.5,201601,29,349,used,1,14
223,Honda Wave Alpha 110,5000,,109.16,200601,15,1055,used,2,10
224,Honda Wave Alpha 50,5000,,100,202107,15,1055,used,2,1
225,Piaggio Vespa S125 i.e,5000,,124.5,201708,29,349,used,1,1
226,Kymco K-Pipe 50,5000,,49,202108,21,252,used,2,10
227,Honda SH Mode 125,20000,,125,201706,15,167,used,1,10
228,Honda LEAD 110,5000,,107,201601,15,145,used,1,7
229,Honda SH 125,5000,,124.9,201601,15,167,used,1,10
230,Honda Vario 150,10000,,150,201808,15,178,used,1,3
231,Suzuki Satria F150 Fi,5000,,147.3,202107,34,432,used,2,10
232,Honda LEAD 125 FI,5000,,125,202105,15,145,used,1,2
233,Yamaha Exciter 135,20000,,135,201406,40,535,used,2,1
234,Piaggio Vespa LX,5000,,124.5,201901,29,349,used,1,14
235,Piaggio Vespa Sprint,5000,,124.5,201801,29,349,used,1,15
236,Honda Wave Alpha 100,5000,,97.1,201608,15,1055,used,2,7
237,Honda Winner 150,5000,,149,201912,15,180,used,2,5
238,Honda Rebel 300 ABS,5000,,286,202107,15,181,used,3,10
239,Yamaha Exciter 150 RC,5000,,149.7,202106,40,535,used,2,3
240,Honda PCX 125,5000,,124.9,201601,15,166,used,1,7
241,Honda Wave Alpha RSX,5000,,110,202105,15,1055,used,2,14
242,Yamaha BWs 125,20000,,125,201306,40,524,used,1,3
243,Yamaha Exciter 135,5000,,135,201609,40,535,used,2,15
244,Yamaha Janus 2019,5000,,125,202011,40,525,used,1,15
245,Yamaha R15 V3 1055,5000,,,202107,40,1078,used,3,3
246,Honda Future 125,5000,,"124,9",201801,15,198,used,2,3
247,Honda Wave Alpha 100,10000,,97.1,201504,15,1055,used,2,1
248,Honda Air Blade 110 FI,5000,,108,201406,15,148,used,1,7
249,Honda Air Blade 110,5000,,108,201501,15,148,used,1,1
250,Honda Air Blade 150 Fi,5000,,150,202106,15,148,used,1,10
251,Honda Wave S 110,5000,,110cc,201601,15,1700,used,2,10
252,Brixton BX 150 X,5000,,150,202107,5,31,used,3,3
253,Honda MSX 125,5000,,124.9,202112,15,165,used,2,3
254,Honda Air Blade 110,5000,,108,201001,15,148,used,1,3
255,Ducati Mini 110,5000,,110,202102,9,1075,used,3,3
256,Yamaha TFX 150,5000,,149.8,201801,40,539,used,2,8
